Participant_ID,Presented_Stimulus,Mental_Complexity,Distraction_Given,Key_Pressed,Right_Key_Chosen,Reaction_Time,Timestamp
1,Red Rectangle,A,N,j,True,0.7892284393310547,2019-05-14 16:15:32.404836
1,Red Rectangle,A,D,j,True,0.731586217880249,2019-05-14 16:15:34.161124
1,3 * 8 = 24,P,D,f,True,1.0815179347991943,2019-05-14 16:15:36.261990
1,8 + 7 = -16,P,N,j,True,1.076934576034546,2019-05-14 16:15:38.359994
1,Red Rectangle,A,N,j,True,0.7730147838592529,2019-05-14 16:15:40.155799
1,Blue Rectangle,A,D,f,True,0.6560595035552979,2019-05-14 16:15:41.831383
1,1 - 3 = -2,P,D,f,True,1.328756332397461,2019-05-14 16:15:44.177856
1,3 - 5 = -2,P,N,f,True,1.4384772777557373,2019-05-14 16:15:46.643600
1,Red Rectangle,A,N,j,True,0.9513509273529053,2019-05-14 16:15:48.616072
1,Blue Rectangle,A,D,f,True,0.868372917175293,2019-05-14 16:15:50.513539
1,3 + 2 = 5,P,D,f,True,2.674171209335327,2019-05-14 16:15:54.208092
1,9 + 4 = 13,P,N,f,True,1.767526626586914,2019-05-14 16:15:57.001484
1,Red Rectangle,A,N,j,True,1.187117099761963,2019-05-14 16:15:59.207099
1,Blue Rectangle,A,D,f,True,0.7531192302703857,2019-05-14 16:16:00.979074
1,6 * 4 = -11,P,D,j,True,1.269312858581543,2019-05-14 16:16:03.279282
1,6 + 2 = -9,P,N,j,True,1.3220138549804688,2019-05-14 16:16:05.637320
1,Red Rectangle,A,N,j,True,2.004530668258667,2019-05-14 16:16:08.665467
1,Blue Rectangle,A,D,f,True,0.7543704509735107,2019-05-14 16:16:10.446738
1,8 - 1 = 7,P,D,f,True,2.124525308609009,2019-05-14 16:16:13.603571
1,4 * 6 = 12,P,N,j,True,1.3101730346679688,2019-05-14 16:16:15.940228
1,Red Rectangle,A,N,j,True,0.8351738452911377,2019-05-14 16:16:17.804460
1,Blue Rectangle,A,D,f,True,0.6060953140258789,2019-05-14 16:16:19.452330
1,7 * 3 = 8,P,D,j,True,1.3460748195648193,2019-05-14 16:16:21.831352
1,9 - 3 = 6,P,N,f,True,1.8644523620605469,2019-05-14 16:16:24.711380
1,Blue Rectangle,A,N,f,True,0.6871957778930664,2019-05-14 16:16:26.421695
1,Red Rectangle,A,D,j,True,0.6253228187561035,2019-05-14 16:16:28.063201
1,8 * 3 = -9,P,D,j,True,1.2877349853515625,2019-05-14 16:16:30.379293
1,9 * 8 = 72,P,N,j,False,2.2286338806152344,2019-05-14 16:16:33.638130
1,Blue Rectangle,A,N,f,True,1.1963860988616943,2019-05-14 16:16:35.858635
1,Blue Rectangle,A,D,f,True,0.6509823799133301,2019-05-14 16:16:37.525644
1,5 - 2 = 3,P,D,f,True,1.4282572269439697,2019-05-14 16:16:39.985402
1,7 - 7 = 0,P,N,f,True,0.8344955444335938,2019-05-14 16:16:41.838819
1,Red Rectangle,A,N,j,True,0.6591174602508545,2019-05-14 16:16:43.509488
1,Red Rectangle,A,D,j,True,0.5362176895141602,2019-05-14 16:16:45.075460
1,6 * 5 = 8,P,D,j,True,2.1839144229888916,2019-05-14 16:16:48.284984
1,2 - 3 = -1,P,N,f,True,1.8961257934570312,2019-05-14 16:16:51.208954
1,Blue Rectangle,A,N,f,True,0.9766182899475098,2019-05-14 16:16:53.199502
1,Red Rectangle,A,D,j,True,1.8369383811950684,2019-05-14 16:16:56.058455
1,5 * 6 = 30,P,D,f,True,1.2314584255218506,2019-05-14 16:16:58.315493
1,7 + 8 = 15,P,N,f,True,2.67150616645813,2019-05-14 16:17:02.011691
2,Red Rectangle,A,D,j,True,1.535571575164795,2019-05-14 17:14:29.804957
2,2 - 3 = 8,P,N,j,True,2.55999755859375,2019-05-14 17:14:33.398977
2,Blue Rectangle,A,N,f,True,0.7480936050415039,2019-05-14 17:14:35.160373
2,3 * 8 = 24,P,D,f,True,2.3028242588043213,2019-05-14 17:14:38.494451
2,Red Rectangle,A,D,j,True,1.4122684001922607,2019-05-14 17:14:40.933757
2,1 * 1 = 1,P,N,f,True,1.7973558902740479,2019-05-14 17:14:43.758070
2,Red Rectangle,A,N,j,True,1.0178070068359375,2019-05-14 17:14:45.795404
2,6 * 9 = 54,P,D,f,True,2.2419795989990234,2019-05-14 17:14:49.057468
2,Blue Rectangle,A,D,f,True,0.8184919357299805,2019-05-14 17:14:50.902239
2,8 - 4 = -4,P,N,j,True,2.1934661865234375,2019-05-14 17:14:54.113297
2,Blue Rectangle,A,N,f,True,0.7982826232910156,2019-05-14 17:14:55.924540
2,8 - 8 = 0,P,D,f,True,1.819847822189331,2019-05-14 17:14:58.767528
2,Blue Rectangle,A,D,f,True,0.8315560817718506,2019-05-14 17:15:00.640780
2,7 * 4 = 15,P,N,j,True,2.055659770965576,2019-05-14 17:15:03.746782
2,Red Rectangle,A,N,j,True,1.1515018939971924,2019-05-14 17:15:05.929162
2,8 + 3 = 11,P,D,f,True,1.4746983051300049,2019-05-14 17:15:08.416634
2,Blue Rectangle,A,D,f,True,0.7645077705383301,2019-05-14 17:15:10.200541
2,8 + 2 = 10,P,N,f,True,1.5490405559539795,2019-05-14 17:15:12.791034
2,Red Rectangle,A,N,j,True,0.7547481060028076,2019-05-14 17:15:14.560205
2,9 * 9 = -1,P,D,j,True,2.011913537979126,2019-05-14 17:15:17.603554
2,Red Rectangle,A,D,j,True,1.005568504333496,2019-05-14 17:15:19.633805
2,9 - 9 = -16,P,N,j,True,2.4479806423187256,2019-05-14 17:15:23.137147
2,Blue Rectangle,A,N,f,True,0.7849733829498291,2019-05-14 17:15:24.947887
2,4 - 3 = -10,P,D,j,True,1.4902610778808594,2019-05-14 17:15:27.451477
2,Red Rectangle,A,D,j,True,0.9026877880096436,2019-05-14 17:15:29.403573
2,8 - 1 = -5,P,N,j,True,2.691936492919922,2019-05-14 17:15:33.136008
2,Red Rectangle,A,N,j,True,0.7783303260803223,2019-05-14 17:15:34.941554
2,2 + 8 = -9,P,D,j,True,3.785667657852173,2019-05-14 17:15:39.749282
2,Red Rectangle,A,D,j,True,0.9426064491271973,2019-05-14 17:15:41.719170
2,3 - 8 = -5,P,N,f,True,2.3560245037078857,2019-05-14 17:15:45.088649
2,Red Rectangle,A,N,j,True,0.8260958194732666,2019-05-14 17:15:46.938181
2,6 + 3 = 9,P,D,f,True,1.2524034976959229,2019-05-14 17:15:49.225839
2,Red Rectangle,A,D,j,True,0.6814489364624023,2019-05-14 17:15:50.926525
2,2 * 3 = 6,P,N,f,True,1.6177446842193604,2019-05-14 17:15:53.578570
2,Red Rectangle,A,N,j,True,1.417567491531372,2019-05-14 17:15:56.026946
